transaction_amount,merchant_category,transaction_hour,day_of_week,is_weekend,customer_age,account_age_days,previous_transactions_day,average_transaction_amount,credit_limit,amount_vs_average_ratio,time_since_last_transaction,location_risk_score,is_fraud
1.0,18,12,6,1,36,954,3,55.02,760.32,0.02,20.0,0.9,0
82.88,19,7,5,1,46,458,4,10.0,500.0,8.29,24.9,21.9,0
4.19,3,21,6,1,48,96,1,13.8,500.0,0.3,7.9,44.1,0
22.2,12,7,0,0,58,15,4,36.18,500.0,0.61,46.4,9.7,0
9.67,14,18,5,1,28,63,2,18.96,500.0,0.51,2.5,22.2,0
56.77,18,18,0,0,42,1045,1,10.0,500.0,5.68,27.1,29.7,0
31.63,0,3,4,0,38,552,1,10.0,500.0,3.16,1.1,16.2,0
1.71,4,7,3,0,18,271,0,24.62,500.0,0.07,0.1,11.4,0
5.91,6,1,6,1,46,879,3,10.0,500.0,0.59,38.3,4.7,0
61.73,8,10,1,0,18,513,2,10.0,500.0,6.17,5.6,13.5,0
34.92,9,18,4,0,33,17,0,10.0,500.0,3.49,15.2,18.3,0
30.74,14,4,5,1,64,186,3,10.0,500.0,3.07,0.6,18.7,0
119.05,6,4,2,0,58,57,3,10.0,500.0,11.9,4.3,11.9,0
7.73,12,8,5,1,25,19,2,29.28,500.0,0.26,3.8,6.1,0
35.43,4,14,5,1,42,976,1,10.0,500.0,3.54,24.7,12.5,0
20.16,12,12,6,1,38,102,1,27.18,500.0,0.74,0.7,43.1,0
10.34,6,4,5,1,38,40,2,10.0,500.0,1.03,4.2,24.6,0
28.07,4,4,0,0,58,315,3,46.52,634.02,0.6,5.4,3.8,0
17.22,19,5,4,0,73,272,1,14.37,500.0,1.2,12.5,16.7,0
1.28,4,15,0,0,40,1,1,32.7,500.0,0.04,6.1,10.9,0
227.66,3,13,3,0,30,100,0,25.32,500.0,8.99,2.3,17.4,0
10.91,1,0,0,0,31,1728,2,58.39,940.07,0.19,6.4,25.2,0
73.65,13,14,0,0,43,463,1,46.45,798.0,1.59,34.2,60.0,0
1.49,4,6,3,0,67,1460,2,10.0,500.0,0.15,9.7,19.3,0
11.27,10,3,0,0,73,260,5,47.87,929.34,0.24,37.7,21.2,0
15.4,17,21,0,0,24,234,2,11.57,500.0,1.33,23.9,49.6,0
20.75,9,5,1,0,47,170,1,17.41,500.0,1.19,0.8,18.2,0
50.87,9,4,6,1,31,166,2,28.0,500.0,1.82,22.1,18.0,0
8.72,11,10,3,0,41,241,0,14.42,500.0,0.6,34.1,25.5,0
32.58,1,17,2,0,44,1131,2,10.0,500.0,3.26,20.1,18.2,0
68.26,10,12,5,1,29,502,1,43.01,500.0,1.59,3.2,28.8,0
26.8,7,6,5,1,47,1,0,15.65,500.0,1.71,7.4,8.2,0
32.08,0,13,6,1,61,660,2,37.54,500.0,0.85,3.1,34.2,0
28.38,18,3,3,0,28,658,0,30.48,500.0,0.93,9.6,17.3,0
24.36,2,19,1,0,58,411,3,21.12,500.0,1.15,1.8,34.1,0
21.12,6,9,3,0,45,82,3,10.0,500.0,2.11,18.0,14.9,0
1.0,9,11,5,1,18,98,2,20.95,500.0,0.05,3.0,25.8,0
108.85,1,4,3,0,48,160,1,10.0,500.0,10.88,0.7,49.1,0
5.75,1,13,4,0,41,153,5,10.0,500.0,0.57,35.0,4.7,0
83.64,2,2,1,0,40,9,0,10.0,500.0,8.36,11.7,5.5,0
15.98,11,18,6,1,47,2,0,37.02,500.0,0.43,61.5,13.1,0
59.51,0,5,5,1,18,109,2,10.0,500.0,5.95,24.5,12.7,0
98.64,6,6,5,1,51,850,1,16.87,500.0,5.85,8.3,20.3,0
5.15,11,14,2,0,52,17,3,10.0,500.0,0.52,5.5,25.8,0
15.79,0,19,1,0,36,195,0,13.23,500.0,1.19,8.2,17.9,0
17.98,1,20,0,0,58,302,0,10.0,500.0,1.8,0.2,18.7,0
5.71,13,0,4,0,46,805,0,10.0,500.0,0.57,31.2,7.5,0
16.14,18,14,1,0,45,49,1,10.94,500.0,1.48,2.4,3.1,0
16.59,2,7,3,0,18,326,1,10.0,500.0,1.66,7.3,13.1,0
23.01,2,5,5,1,55,772,1,16.64,500.0,1.38,0.1,11.2,0
104.52,19,21,3,0,40,427,1,10.0,500.0,10.45,31.8,14.8,0
91.49,10,6,4,0,73,35,0,25.94,500.0,3.53,5.2,7.4,0
136.42,9,18,6,1,25,2100,1,11.34,500.0,12.03,5.3,4.8,0
3.35,16,0,1,0,18,294,1,38.78,711.54,0.09,5.4,40.3,0
3.95,14,22,6,1,49,322,2,47.24,897.46,0.08,9.0,10.7,0
7.17,16,17,3,0,50,534,2,10.0,500.0,0.72,5.5,19.8,0
74.78,4,11,3,0,28,472,0,31.61,500.0,2.37,7.0,25.4,0
8.71,7,13,0,0,50,93,2,21.04,500.0,0.41,4.5,5.8,0
16.56,2,4,3,0,75,685,0,16.12,500.0,1.03,15.0,4.2,0
33.08,1,1,1,0,41,41,0,26.74,500.0,1.24,20.5,8.8,0
1.04,6,9,2,0,31,304,2,18.35,500.0,0.06,31.4,28.1,0
13.16,12,20,4,0,41,272,5,19.67,500.0,0.67,9.0,13.2,0
14.3,5,14,4,0,39,156,1,10.0,500.0,1.43,0.3,9.7,0
15.81,17,23,4,0,39,87,2,10.21,500.0,1.55,2.7,8.1,0
85.37,4,13,5,1,49,431,2,38.91,500.0,2.19,15.3,30.3,0
1.28,16,4,3,0,28,303,2,10.0,500.0,0.13,8.3,21.6,0
4.36,19,10,0,0,18,702,1,10.0,500.0,0.44,3.8,9.0,0
22.99,13,2,6,1,18,454,1,23.03,500.0,1.0,9.3,35.9,0
47.52,4,13,6,1,50,352,2,11.47,500.0,4.14,16.2,20.7,0
139.87,6,6,3,0,57,865,3,20.77,500.0,6.73,4.7,4.2,0
98.98,1,2,0,0,32,13,2,57.2,666.11,1.73,16.0,8.4,0
11.16,17,17,3,0,33,219,1,14.82,500.0,0.75,3.8,31.1,0
2.23,5,16,5,1,62,399,1,20.72,500.0,0.11,2.8,27.7,0
21.57,8,2,1,0,29,58,1,10.0,500.0,2.16,17.0,13.7,0
18.5,17,7,4,0,50,59,2,10.0,500.0,1.85,0.2,32.1,0
68.94,16,21,3,0,55,205,1,38.52,753.16,1.79,6.3,20.0,0
89.17,3,22,1,0,18,257,1,31.52,510.37,2.83,0.3,20.6,0
11.48,9,16,2,0,66,121,3,92.34,576.94,0.12,12.6,12.4,0
5.09,13,11,0,0,47,252,1,50.69,750.15,0.1,4.5,42.4,0
86.91,7,0,4,0,71,249,1,20.11,500.0,4.32,17.0,13.2,0
6.91,19,10,3,0,29,490,2,33.88,500.0,0.2,3.9,35.2,0
5.16,1,10,4,0,69,519,1,10.5,500.0,0.49,2.1,21.9,0
3.46,18,10,4,0,63,1181,1,10.0,500.0,0.35,3.5,8.7,0
3.43,0,5,5,1,44,78,2,10.0,500.0,0.34,7.6,41.6,0
845.77,6,3,5,1,51,578,3,51.2,500.0,16.52,16.3,13.5,0
22.48,7,2,5,1,34,87,1,25.49,500.0,0.88,3.1,18.6,0
10.81,4,9,3,0,39,765,1,12.34,500.0,0.88,1.2,25.1,0
1.81,13,13,1,0,59,3,3,15.54,500.0,0.12,5.2,28.3,0
9.32,6,0,0,0,37,459,3,10.0,500.0,0.93,20.0,8.3,0
356.53,15,18,6,1,30,729,1,10.0,500.0,35.65,4.8,35.6,0
7.55,15,23,0,0,40,1914,1,40.27,500.0,0.19,2.1,10.9,0
23.37,13,6,6,1,31,139,1,31.94,552.06,0.73,8.3,46.9,0
10.91,2,10,2,0,18,396,1,13.6,500.0,0.8,0.6,28.6,0
136.15,14,8,1,0,45,285,0,10.0,500.0,13.62,14.3,15.0,0
14.34,17,11,3,0,48,149,1,37.45,681.96,0.38,7.3,10.1,0
113.45,14,15,4,0,25,229,0,14.63,500.0,7.75,2.0,21.5,0
4.66,17,21,3,0,69,417,2,10.1,500.0,0.46,4.1,54.3,0
28.76,10,21,6,1,27,359,2,10.0,500.0,2.88,2.1,15.0,0
1.0,11,3,4,0,35,683,1,10.0,500.0,0.1,1.6,9.2,0
22.98,13,23,4,0,65,1642,0,10.0,500.0,2.3,3.6,10.0,0
33.88,8,9,6,1,47,640,3,22.46,500.0,1.51,43.1,13.4,0
14.71,13,14,0,0,34,462,3,10.0,500.0,1.47,20.4,2.0,0
109.48,0,3,5,1,40,478,1,10.0,500.0,10.95,10.6,24.0,0
11.01,1,0,1,0,48,1056,2,10.0,500.0,1.1,5.0,12.6,0
44.1,4,23,1,0,73,57,1,10.0,500.0,4.41,6.0,31.0,0
52.36,8,8,1,0,32,242,1,21.45,500.0,2.44,3.5,6.6,0
4.04,16,2,4,0,38,425,5,10.0,500.0,0.4,16.8,9.7,0
165.42,19,11,4,0,43,132,4,10.0,500.0,16.54,3.4,39.1,0
40.17,4,16,2,0,41,217,3,15.85,500.0,2.53,0.6,18.6,0
19.28,3,6,4,0,60,105,2,49.44,643.41,0.39,1.1,9.5,0
51.13,3,8,1,0,28,406,1,24.06,500.0,2.13,17.7,10.5,0
3.56,0,20,0,0,46,134,2,13.1,500.0,0.27,5.2,12.2,0
7.14,9,3,1,0,21,88,4,54.35,837.83,0.13,17.9,38.6,0
42.93,7,17,1,0,47,355,2,10.0,500.0,4.29,28.2,54.3,0
3.58,4,11,2,0,38,260,0,10.0,500.0,0.36,2.0,16.9,0
19.74,13,22,1,0,25,1444,2,10.0,500.0,1.97,3.0,23.7,0
855.88,15,13,1,0,46,143,0,14.37,500.0,59.56,23.8,25.3,0
87.14,16,14,0,0,47,60,2,23.63,500.0,3.69,0.2,12.4,0
20.27,15,12,5,1,38,63,1,157.07,2616.29,0.13,29.0,19.8,0
3.01,17,11,1,0,46,416,3,10.0,500.0,0.3,5.5,18.2,0
58.42,12,4,3,0,25,81,1,10.0,500.0,5.84,26.4,35.0,0
24.09,14,15,4,0,19,215,2,11.71,500.0,2.06,17.7,5.8,0
61.54,1,20,4,0,73,231,2,24.61,500.0,2.5,5.3,16.3,0
24.0,15,12,4,0,53,311,1,10.0,500.0,2.4,7.1,26.9,0
32.97,4,8,1,0,33,837,1,37.24,500.0,0.89,0.7,14.6,0
18.61,10,17,0,0,46,2,1,10.0,500.0,1.86,2.0,16.6,0
232.88,3,11,4,0,18,305,0,68.79,500.0,3.39,17.0,25.7,0
26.33,9,15,6,1,44,164,3,24.9,500.0,1.06,11.4,14.8,0
30.21,10,23,1,0,26,758,1,48.7,511.41,0.62,8.0,32.5,0
13.06,18,1,3,0,40,1072,2,10.0,500.0,1.31,10.3,8.2,0
2.43,6,8,6,1,35,1253,0,15.61,500.0,0.16,12.0,5.4,0
220.88,19,21,3,0,18,344,3,10.0,500.0,22.09,3.3,3.2,0
11.21,17,22,5,1,51,1707,3,10.98,500.0,1.02,19.7,5.3,0
47.98,17,5,2,0,34,579,1,40.59,716.77,1.18,4.2,5.9,0
121.87,2,4,1,0,66,47,0,10.0,500.0,12.19,1.3,41.0,0
16.23,18,6,3,0,21,42,2,10.3,500.0,1.58,10.1,34.6,0
194.18,19,10,0,0,56,317,2,21.61,500.0,8.99,1.7,19.5,0
7.82,16,18,3,0,25,191,0,10.0,500.0,0.78,7.5,26.3,0
1.07,14,12,4,0,22,367,1,10.0,500.0,0.11,5.4,31.4,0
6.4,9,2,4,0,46,491,6,337.95,4142.73,0.02,5.7,7.2,0
33.5,5,17,0,0,52,120,3,39.67,697.81,0.84,1.4,36.6,0
22.98,11,16,6,1,38,11,0,39.77,650.84,0.58,10.8,18.2,0
43.14,10,17,1,0,45,205,0,10.0,500.0,4.31,12.3,23.9,0
9.82,9,12,1,0,18,152,1,10.0,500.0,0.98,7.5,21.2,0
1.0,12,3,5,1,43,159,4,14.08,500.0,0.07,0.3,19.3,0
28.22,4,11,2,0,26,640,3,34.43,616.23,0.82,12.4,22.8,0
34.8,11,13,5,1,56,116,1,10.0,500.0,3.48,9.9,44.0,0
33.33,17,13,1,0,18,929,3,22.69,500.0,1.47,16.7,25.7,0
12.59,12,6,6,1,40,588,0,100.48,1176.17,0.13,2.5,16.5,0
25.33,12,21,4,0,48,96,0,10.0,500.0,2.53,13.4,16.4,0
21.76,6,8,5,1,37,332,0,17.92,500.0,1.21,8.7,4.6,0
21.95,10,18,2,0,33,239,2,15.88,500.0,1.38,16.5,31.6,0
57.41,11,16,5,1,52,1206,3,18.83,500.0,3.05,29.5,10.1,0
2.01,1,7,1,0,25,94,0,16.12,500.0,0.12,7.0,14.3,0
13.51,12,7,5,1,51,250,1,10.0,500.0,1.35,15.6,3.6,0
42.43,9,1,5,1,33,221,4,10.0,500.0,4.24,27.2,4.9,0
6.36,15,5,6,1,18,290,2,24.33,500.0,0.26,8.5,45.0,0
15.98,1,4,1,0,42,113,1,23.19,500.0,0.69,21.0,21.6,0
2.63,8,23,0,0,44,63,3,10.0,500.0,0.26,26.7,3.9,0
1.59,0,5,6,1,55,335,1,10.0,500.0,0.16,23.7,42.6,0
1.16,1,9,1,0,25,73,4,32.1,610.26,0.04,9.8,5.9,0
23.98,17,10,4,0,45,174,1,10.0,500.0,2.4,8.5,14.7,0
7.84,18,21,6,1,48,326,4,25.51,500.0,0.31,11.5,6.8,0
25.91,12,12,6,1,40,245,2,10.0,500.0,2.59,11.8,31.5,0
156.87,16,20,0,0,18,584,3,61.51,1144.18,2.55,3.0,16.8,0
12.63,5,15,0,0,38,4,1,21.32,500.0,0.59,1.1,22.5,0
36.94,9,1,0,0,53,22,2,10.0,500.0,3.69,16.9,27.2,0
2.71,4,7,4,0,48,707,3,40.36,701.13,0.07,23.5,28.7,0
3.69,5,13,1,0,50,138,1,19.19,500.0,0.19,6.2,10.8,0
1.0,3,11,0,0,61,36,4,23.68,500.0,0.04,16.3,18.1,0
2.24,19,12,6,1,65,29,1,19.83,500.0,0.11,1.4,17.2,0
5.62,13,3,5,1,64,263,1,16.39,500.0,0.34,10.0,7.8,0
10.95,16,10,4,0,43,559,3,15.47,500.0,0.71,29.6,30.6,0
7.39,15,8,1,0,39,397,0,10.0,500.0,0.74,0.9,24.2,0
12.38,12,22,3,0,43,642,3,53.55,500.0,0.23,23.7,18.1,0
33.6,4,18,4,0,25,396,1,23.22,500.0,1.45,28.5,15.6,0
6.13,7,1,3,0,38,1,3,10.0,500.0,0.61,11.9,23.0,0
14.84,4,3,6,1,30,874,2,10.24,500.0,1.45,2.6,41.0,0
26.15,19,8,2,0,50,594,2,10.0,500.0,2.62,11.5,15.0,0
7.44,13,9,2,0,38,44,2,10.0,500.0,0.74,30.1,43.3,0
10.8,19,22,3,0,35,193,2,10.0,500.0,1.08,28.7,19.6,0
36.34,2,22,4,0,18,691,0,10.0,500.0,3.63,4.4,40.5,0
247.58,9,6,2,0,63,51,0,10.0,500.0,24.76,0.9,52.4,0
49.59,9,21,0,0,27,64,2,10.0,500.0,4.96,41.6,30.8,0
3.22,2,9,2,0,74,86,2,10.0,500.0,0.32,22.6,7.7,0
6.23,10,18,5,1,45,7,2,21.15,500.0,0.29,31.9,18.2,0
3.65,19,4,5,1,41,87,2,57.47,857.64,0.06,25.3,29.1,0
37.64,12,0,6,1,46,259,1,10.0,500.0,3.76,1.5,24.9,0
66.83,7,9,3,0,38,265,3,25.99,500.0,2.57,30.5,3.5,0
1.42,1,5,3,0,18,495,1,18.71,500.0,0.08,21.3,11.3,0
18.04,8,8,0,0,28,246,1,66.99,1279.29,0.27,0.7,17.8,0
8.61,4,9,4,0,48,364,4,14.95,500.0,0.58,5.2,8.1,0
8.46,4,3,2,0,22,101,2,14.41,500.0,0.59,8.5,44.1,0
13.23,14,9,5,1,30,1063,3,29.75,534.15,0.44,3.0,27.0,0
12.59,1,14,6,1,32,170,2,29.63,539.23,0.42,2.7,14.4,0
6.31,0,6,6,1,46,279,2,10.0,500.0,0.63,48.3,18.4,0
34.43,19,21,5,1,29,315,0,41.72,574.69,0.83,8.0,35.5,0
6.17,10,20,5,1,67,132,1,16.05,500.0,0.38,6.9,23.9,0
11.89,1,1,0,0,40,12,3,37.0,584.77,0.32,2.4,25.5,0
9.99,12,1,0,0,31,180,1,69.31,1090.3,0.14,13.2,32.8,0
133.76,13,15,4,0,57,172,1,10.0,500.0,13.38,0.4,9.9,0
11.24,2,7,4,0,32,531,3,12.64,500.0,0.89,13.0,7.9,0
389.65,1,23,0,0,37,348,3,10.69,500.0,36.45,9.8,32.9,0
47.63,9,7,3,0,47,879,1,50.86,718.23,0.94,3.8,51.0,0
1.88,15,5,6,1,58,3,3,81.34,1534.08,0.02,15.9,14.8,0
3.97,1,22,5,1,19,6,2,10.05,500.0,0.4,10.3,18.0,0
6.3,5,1,3,0,39,673,2,10.0,500.0,0.63,13.6,25.7,0
175.54,3,21,6,1,47,91,1,14.8,500.0,11.86,3.0,19.9,0
107.99,7,5,6,1,43,367,2,23.05,500.0,4.69,10.6,7.2,0
311.68,3,21,3,0,51,496,0,10.0,500.0,31.17,5.7,24.2,0
20.63,7,0,5,1,39,489,4,17.53,500.0,1.18,0.7,7.2,0
11.32,16,4,5,1,71,1440,1,26.91,532.54,0.42,4.9,14.7,0
4.7,16,19,4,0,29,161,1,10.0,500.0,0.47,19.6,10.8,0
83.53,5,23,4,0,30,844,3,17.61,500.0,4.74,3.3,20.1,0
3.8,2,4,2,0,25,342,0,15.28,500.0,0.25,2.0,23.4,0
31.6,19,22,5,1,28,745,0,11.17,500.0,2.83,11.1,32.7,0
11.22,15,3,0,0,52,387,0,191.72,2319.64,0.06,9.9,3.5,0
71.3,1,0,0,0,34,50,4,10.0,500.0,7.13,22.7,15.3,0
15.06,17,5,5,1,35,583,2,10.0,500.0,1.51,10.2,31.7,0
57.79,5,8,4,0,52,150,4,13.62,500.0,4.24,2.5,12.2,0
18.11,2,16,4,0,38,101,3,10.0,500.0,1.81,10.1,9.3,0
15.34,8,3,3,0,32,263,2,18.41,500.0,0.83,21.4,24.0,0
48.14,0,17,2,0,52,22,2,53.62,959.7,0.9,1.3,15.8,0
144.22,19,15,4,0,63,318,1,10.0,500.0,14.42,3.7,15.8,0
52.13,1,3,6,1,37,572,3,10.0,500.0,5.21,16.2,17.1,0
99.76,0,19,0,0,54,176,0,14.03,500.0,7.11,8.8,5.8,0
2.47,0,18,5,1,23,619,0,10.0,500.0,0.25,15.6,9.8,0
57.81,13,9,4,0,24,75,1,25.59,500.0,2.26,14.0,23.8,0
49.19,1,15,2,0,56,49,3,23.06,500.0,2.13,2.2,12.5,0
25.85,7,23,5,1,44,596,4,10.0,500.0,2.58,8.8,41.6,0
7.5,0,19,4,0,49,60,2,10.0,500.0,0.75,27.2,4.1,0
40.16,11,18,0,0,24,846,1,10.0,500.0,4.02,10.0,7.3,0
149.17,11,18,6,1,59,463,2,10.0,500.0,14.92,16.6,2.2,0
16.2,18,1,3,0,27,11,0,11.17,500.0,1.45,2.1,13.5,0
12.91,15,23,4,0,79,344,1,11.66,500.0,1.11,3.2,13.2,0
8.12,14,7,4,0,61,671,1,27.79,500.0,0.29,4.2,10.7,0
817.31,7,1,2,0,42,605,0,16.04,500.0,50.95,1.4,14.6,0
24.06,16,21,5,1,45,106,3,10.0,500.0,2.41,9.8,24.0,0
4.8,13,11,2,0,42,94,2,29.88,500.0,0.16,4.0,4.7,0
10.43,0,11,5,1,42,497,1,20.04,500.0,0.52,12.3,10.5,0
6.77,14,20,3,0,32,195,2,10.0,500.0,0.68,0.1,25.7,0
10.33,4,20,0,0,45,257,1,10.0,500.0,1.03,4.1,29.3,0
56.76,18,12,1,0,31,228,1,10.0,500.0,5.68,3.3,14.5,0
452.36,0,3,6,1,69,991,3,10.0,500.0,45.24,0.7,4.2,0
18.37,14,8,3,0,37,1600,3,13.95,500.0,1.32,10.3,50.2,0
3.17,3,1,4,0,18,541,2,25.33,500.0,0.13,18.0,41.4,0
1.71,1,18,2,0,53,965,1,18.44,500.0,0.09,10.2,2.3,0
43.99,8,23,6,1,51,196,1,11.27,500.0,3.9,10.7,7.4,0
34.97,18,16,1,0,47,464,3,10.0,500.0,3.5,10.6,25.6,0
12.03,8,11,1,0,42,133,2,16.66,500.0,0.72,6.8,5.9,0
6.57,4,21,0,0,62,7,3,10.0,500.0,0.66,27.2,12.6,0
1.55,10,12,2,0,39,2144,4,10.24,500.0,0.15,7.1,19.1,0
19.73,10,10,5,1,63,43,1,10.0,500.0,1.97,4.0,22.1,0
23.61,10,8,3,0,31,398,2,29.59,526.54,0.8,34.8,22.1,0
2.03,18,4,1,0,18,378,2,18.71,500.0,0.11,18.6,22.2,0
3.91,8,19,2,0,40,95,3,68.25,979.62,0.06,26.4,20.3,0
51.93,14,20,4,0,48,506,2,23.24,500.0,2.23,8.3,11.8,0
3.13,5,3,1,0,18,557,4,10.0,500.0,0.31,42.0,20.4,0
6.05,17,2,4,0,50,87,1,39.61,716.97,0.15,26.3,7.6,0
52.48,1,18,3,0,59,81,1,35.64,617.7,1.47,9.3,26.0,0
240.26,17,1,0,0,46,853,1,10.0,500.0,24.03,22.2,16.2,0
42.49,7,14,1,0,38,342,3,45.18,643.88,0.94,10.6,18.3,0
52.51,19,12,0,0,41,242,0,25.67,500.0,2.05,0.9,16.1,0
23.99,0,7,3,0,43,224,1,33.0,500.0,0.73,7.6,18.9,0
4.41,6,0,5,1,40,279,1,10.0,500.0,0.44,35.9,3.3,0
26.25,6,9,3,0,61,280,1,10.0,500.0,2.62,11.0,46.0,0
27.29,14,2,0,0,48,899,0,10.63,500.0,2.57,2.1,23.3,0
184.0,1,15,2,0,18,390,1,26.52,500.0,6.94,11.7,28.8,0
9.93,7,5,4,0,36,371,1,10.0,500.0,0.99,1.6,2.6,0
35.5,15,2,6,1,34,137,3,31.15,500.0,1.14,4.3,9.8,0
63.72,1,4,3,0,42,498,1,18.02,500.0,3.54,4.2,33.0,0
13.32,7,15,2,0,30,63,0,10.0,500.0,1.33,9.8,15.7,0
4.82,2,0,2,0,50,115,1,10.0,500.0,0.48,1.1,27.6,0
28.9,8,12,5,1,51,782,3,10.0,500.0,2.89,26.2,16.0,0
21.58,2,7,6,1,29,268,3,10.0,500.0,2.16,7.8,4.9,0
8.86,1,9,1,0,47,93,0,50.02,619.16,0.18,1.1,8.8,0
9.02,8,2,3,0,28,112,2,19.85,500.0,0.45,1.5,18.6,0
354.26,0,14,4,0,55,7,1,10.0,500.0,35.43,4.4,18.7,0
5.78,1,19,2,0,39,1,0,10.0,500.0,0.58,28.2,24.0,0
19.63,12,2,1,0,35,9,1,10.9,500.0,1.8,21.3,38.5,0
134.92,18,16,2,0,62,584,0,28.72,500.0,4.7,12.0,12.0,0
3.48,19,20,2,0,29,136,3,34.49,500.0,0.1,9.7,11.1,0
2.42,9,6,5,1,45,198,2,10.0,500.0,0.24,1.7,32.2,0
9.95,0,0,4,0,73,156,1,10.0,500.0,0.99,6.6,27.1,0
3.61,11,12,1,0,42,21,2,10.0,500.0,0.36,1.0,4.7,0
18.97,1,19,6,1,36,464,2,21.54,500.0,0.88,1.2,42.3,0
239.08,2,12,1,0,50,65,0,39.69,547.71,6.02,8.7,18.3,0
1.49,3,2,2,0,46,838,3,150.35,2093.29,0.01,18.3,8.7,0
29.93,2,10,5,1,45,625,6,10.0,500.0,2.99,34.7,23.7,0
14.52,3,9,3,0,36,446,4,10.0,500.0,1.45,15.3,47.8,0
9.05,1,20,3,0,38,349,4,25.58,500.0,0.35,15.5,26.4,0
15.83,11,3,2,0,23,149,8,25.23,500.0,0.63,4.9,22.0,0
25.67,3,2,6,1,54,652,5,10.0,500.0,2.57,17.8,31.4,0
14.02,9,19,6,1,29,38,3,10.94,500.0,1.28,1.9,5.7,0
65.11,7,1,2,0,45,120,2,22.14,500.0,2.94,0.3,16.0,0
6.87,17,2,5,1,53,1142,1,59.67,1106.5,0.12,33.6,43.0,0
50.77,15,2,2,0,42,27,3,11.54,500.0,4.4,10.8,21.8,0
8.53,10,16,5,1,35,399,6,10.0,500.0,0.85,38.5,28.6,0
12.68,10,21,0,0,55,133,2,10.0,500.0,1.27,2.7,8.8,0
310.49,2,3,4,0,52,836,1,10.48,500.0,29.63,9.6,41.8,0
13.64,3,7,1,0,54,202,2,10.0,500.0,1.36,6.1,43.5,0
10.12,4,16,4,0,32,827,2,10.0,500.0,1.01,9.9,9.8,0
21.51,11,5,2,0,45,225,2,10.0,500.0,2.15,4.8,30.8,0
137.27,17,18,3,0,52,243,3,10.0,500.0,13.73,23.1,9.4,0
433.8,1,1,5,1,32,163,0,12.66,500.0,34.27,21.5,3.7,0
38.09,19,15,6,1,38,1136,3,10.3,500.0,3.7,5.7,34.2,0
99.01,19,5,3,0,41,81,3,18.44,500.0,5.37,38.5,27.5,0
197.93,19,0,1,0,59,987,0,14.16,500.0,13.98,0.2,20.5,0
8.58,5,10,5,1,45,182,3,10.0,500.0,0.86,5.5,37.1,0
76.55,3,16,2,0,65,101,1,18.34,500.0,4.17,1.1,18.6,0
109.54,16,14,1,0,58,219,2,67.88,1278.13,1.61,11.0,38.5,0
31.1,19,20,6,1,73,330,1,10.0,500.0,3.11,17.6,19.9,0
32.62,9,3,3,0,41,203,1,10.0,500.0,3.26,18.8,20.4,0
67.88,5,22,5,1,22,417,1,10.0,500.0,6.79,15.4,12.1,0
30.11,0,17,3,0,48,665,4,12.32,500.0,2.44,12.9,49.9,0
4.35,0,0,0,0,35,622,2,13.52,500.0,0.32,6.4,17.5,0
7.97,1,8,0,0,21,264,2,10.55,500.0,0.76,7.8,15.1,0
16.61,2,13,6,1,33,42,0,33.65,500.0,0.49,13.0,16.1,0
